inspectionID|permitComments|dateIssued|temporaryPermit
462|2016-1112-1|2016-11-01 00:00:00|False
463|2016-01|2016-12-05 00:00:00|False
464|2016-1 #7|None|False
465|2016|None|False
466|2016-01|None|False
467|2016-Front-01|None|False
468|2016-Rear-01|None|False
469|2016-354-1|None|False
470|2016-354-1|2016-11-04 00:00:00|False
471|2016-01|None|False
472|110416-01|2016-11-04 00:00:00|False
473|110416-02|2016-11-04 00:00:00|False
474|2016-219-2--01|None|False
475|2016-1|2016-11-07 00:00:00|False
476|2016-100 st joseph-210-01|2016-11-07 00:00:00|False
477|2016-01|None|False
478|2016-apt c-02|None|False
479|2016-apt b-02|None|False
480|2016-21-1|2016-11-08 00:00:00|False
481|2016-1-1|2016-11-08 00:00:00|False
482|2016-110-1|2016-11-10 00:00:00|False
483|2016-12-1|2016-11-08 00:00:00|False
484|2016_02|2016-11-08 00:00:00|False
485|2016-01|None|False
486|2016-01-a|2016-11-01 00:00:00|False
487|2016-01-b|None|False
488|2016-01|2016-11-08 00:00:00|False
489|2016-01|None|False
490|2016-01|None|False
491|2016-01-apt 1|None|False
492|2016-apt5-01|2016-11-22 00:00:00|False
493|2016-apt11,13-01|None|False
494|2016-01|2016-11-21 00:00:00|False
495|2016-apta-01|None|False
496|2016-front-01|None|False
497|2016-rear-01|2016-11-09 00:00:00|False
498|2016-390-1|2016-11-09 00:00:00|False
499|2016-1-1|None|False
501|2016-01|None|False
502|2016-01|None|False
503|2016-4-1|None|False
504|2016-2-1|2016-11-14 00:00:00|False
505|2016-apt1-01|2016-11-10 00:00:00|False
506|2016-apt2-01|2016-11-10 00:00:00|False
507|2016-a-2|2016-12-08 00:00:00|False
508|2016-01|None|False
509|2016-459-01|None|False
510|2016-1|None|False
511|2016-apta-02|None|False
512|2016-front-02|2016-11-16 00:00:00|False
513|2016-#7-1|2016-11-14 00:00:00|False
514|2016-01|2016-11-14 00:00:00|False
515|2016-#4-1|None|False
516|2016-#116-1|None|False
517|2016-01|None|False
518|2016-1|2016-12-20 00:00:00|False
519|2016-1|2016-11-22 00:00:00|False
520|2016-1|None|False
521|2016-01|2016-11-16 00:00:00|False
522|2016-01|2016-11-16 00:00:00|False
523|2016-737a-01|None|False
524|2016-834-1|None|False
525|2016-1|None|False
526|2016-01|None|False
527|2016-#4-1|2016-11-17 00:00:00|False
528|2016-102w-01|2016-11-21 00:00:00|False
529|2016-01|2016-11-17 00:00:00|False
530|2016-01|2016-11-17 00:00:00|False
531|2016-01|2016-11-17 00:00:00|False
532|2016-01|None|False
533|2016-01|2016-11-17 00:00:00|False
534|2016-01|None|False
535|2016-01|None|False
536|2016-01|None|False
537|2016-apt2 1st fl-01|None|False
538|2016-1|None|False
539|2016-123-01|2016-11-21 00:00:00|False
540|2016-125-01|None|False
541|2016-1|2016-12-20 00:00:00|False
542|2016-129-01|None|False
543|2016-1VOID|None|False
544|2016-01|None|False
545|2016-01|2016-11-21 00:00:00|False
546|2016-925-1|None|False
547|2016-01|None|False
548|2016-1|None|False
549|2016-1|None|False
550|2016-1-1|2016-11-22 00:00:00|False
551|2016-737a-01|2016-11-23 00:00:00|False
552|2016-02|2016-11-23 00:00:00|False
553|2016-apt1-01|None|False
554|2016-apt2-01|2016-12-01 00:00:00|False
555|2016-b-01|None|False
556|2016-2nd floor front-02|2016-11-29 00:00:00|False
557|2016-2nd floor back-02|2016-11-29 00:00:00|False
558|2016-upper-01|2016-11-29 00:00:00|False
559|2016-apt109-01|2016-11-28 00:00:00|False
560|2016-1|None|False
561|2017-01|None|False
562|2016-01|None|False
563|2016-01|None|False
564|2016-01|None|True
565|2016-01|2016-11-30 00:00:00|False
566|2016-1|None|False
567|2016-1|2016-11-29 00:00:00|False
568|2016-apt7-01|None|False
569|2016-01|2016-12-01 00:00:00|False
570|2016-15-1|2016-12-06 00:00:00|False
571|2016-1|None|True
572|2016-01|None|False
573|2016-01|2016-12-05 00:00:00|False
574|2016-459-01|None|False
575|2016-1|None|False
576|2016-1116-01|2016-12-08 00:00:00|False
577|2016-01|2016-12-22 00:00:00|False
578|2016-01|2016-12-08 00:00:00|False
579|2016-01|2016-12-12 00:00:00|False
580|2016-01|None|True
581|2016-1|None|False
586|2016-01|None|False
587|2016-apt2-01|None|False
588|2016-1-1|2016-12-13 00:00:00|False
589|2016-3-1|2017-01-06 00:00:00|False
590|2016-01|2017-01-09 00:00:00|False
591|2016-02|2016-12-12 00:00:00|False
592|2016-02|None|False
593|2016--1|None|False
594|2016-01|2016-12-13 00:00:00|False
595|void|None|False
596|2016-2|2016-12-16 00:00:00|False
597|ipm inspct.|None|False
598|IMPC inspct|None|False
599|2016-01|2016-12-15 00:00:00|False
600|2016-451-01|2016-12-22 00:00:00|False
601|2016-01|None|False
602|2016-459-02|None|False
603|2016-01|None|False
604|impc inspct.|None|False
605|2016-01|2016-12-19 00:00:00|False
606|2016-457-01|None|False
607|2016-459b-01|None|False
608|2016-01|None|True
609|2016-01|None|False
610|2016-288-01|None|False
611|2016-110-1|None|False
612|IPMC inspct.|None|False
613|2016-01|None|False
728|2017-410-01|None|False
729|2017-23-01|None|False
730|2017-388-01|None|False
731|2017-308A-01|None|False
614|2016-1|2016-12-27 00:00:00|False
615|2016-210-2016|None|False
616|2016|None|False
617|2016-1|None|False
618|2016-1|None|False
619|2016-931-apt.3-1|None|False
620|2016-1|None|False
621|ipmc|None|False
622|2016-459-02|None|False
623|2016-457-01|None|False
624|2016-459b-01|None|False
625|2016-A-1|None|False
626|2016-B-1|None|False
627|2017|None|False
628|2017-01|None|False
629|2017-931 -apt.1-01|None|False
630|2016-311-apt.3-1|None|False
631|2016-apt2-01|None|False
632|2016-01|2017-01-04 00:00:00|False
633|2017-01|2017-01-05 00:00:00|False
634|2017-01|None|False
635|2017-303-01|None|False
636|2017-1|None|False
637|IPMC inspection|None|False
638|2017-168-01|None|False
639|2016-1040-1|None|False
640|2016-01|None|False
641|2016-apt1-01|2017-01-10 00:00:00|False
642|2017-01|None|False
643|2017-apt1-01|None|False
644|2017-apt28-01|None|False
645|2017-apt27-01|None|False
646|void-test|None|False
647|2017-A-01|None|False
648|2017-01|None|False
649|2017-202-01|None|False
650|2017-01|None|False
651|IPMC Inspct.|None|False
652|2016-298-01|None|False
653|2016-01|None|False
654|2016-01-01|None|False
655|2017-01|None|False
656|2016-1|None|False
657|2017-01|None|False
658|2017-01|None|False
659|IPMC 502 wall rear|None|False
660|2017-aptb-01|None|False
661|2017-201-01|None|False
662|2017-01|None|False
664|2017-01|None|False
665|2017-1st floor-01|None|False
666|2017-01|None|False
668|2016-01|None|False
669|2017-01|None|False
670|2017-01|None|False
671|IPMC insp.|None|False
673|2017-455-01|None|False
674|2017-3729-01|None|False
675|2017-110-01|None|False
676|2017-206-01|None|False
677|2017-209-01|None|False
678|2017-210-01|None|False
679|2017-01|None|False
680|2017-01|None|False
681|2017-01|None|False
682|2017-A-01|None|False
683|2017-01|None|False
684|2017-A-01|None|False
685|2017-01|None|False
686|2017-01|None|False
687|2017-01|None|False
688|2017-A-01|None|False
689|2017-01|None|False
690|2017-01|None|False
691|2017-01|None|False
692|2017-apt9-01|None|False
693|2017-1705-01|None|False
694|2016-4-01|None|False
695|2016-01|None|False
696|2017-02|None|False
697|2016-02|None|False
698|2017-02|None|False
699|2016-apt3 2nd flr-01|None|False
700|2016-apt4 3rd flr-01|None|False
701|None|None|False
702|2017-apt12-01|None|False
703|2017-315-01|None|False
704|2017-01|None|False
705|2017-01|None|False
706|2017-210-01|None|False
707|IPMC inspct 01|None|False
708|2017-apt4-01|None|False
709|2017-310-01|None|False
710|2017-208-01|None|False
711|2017-2310-01|None|False
712|2017-34-01|None|False
713|2017-01|None|False
714|2017-01|None|False
715|2017-380apt3-01|None|False
716|2017-380apt7-01|None|False
717|2017-01|None|False
718|2017-Apt3-01|None|False
719|2017-01|None|False
720|2017-01|None|False
721|2017-apt1-01|None|False
722|2017-apt12-01|None|False
723|2017-3832-01|None|False
724|2017-1537-01|None|True
725|2017-1527-01|None|False
726|2017-01|None|False
727|2017-01|None|False
732|2017-308E-01|None|False
733|2017-216D-01|None|False
734|2017-210F-01|None|False
735|2017-210B-01|None|False
736|2017-222A-01|None|False
737|2017-215E-01|None|False
738|2017-221D-01|None|False
739|2017-221A-01|None|False
740|2017-01|None|False
741|2017-01|None|False
742|2017-4075-01|None|False
743|2017-106-01|None|False
744|2016-305-01|None|False
745|2017-B-01|None|False
746|2017-01|None|False
747|2017-215B-01|None|False
748|2017-419-01|None|False
749|2017-409-01|None|False
750|2017-01|None|False
751|2017-01|None|False
752|2017-01|None|False
753|2017-rear-01|None|False
754|2017-01|None|False
755|Void|None|False
756|2017-400-01|None|False
757|2017-402-01|None|False
758|2017-501-01|None|False
759|2017-501 rear-01|None|False
760|2017-General-01|None|False
761|2017-01|None|False
762|2017-816-01|None|False
763|2017-104-01|None|False
764|2017-apt2-1|None|False
765|2017-01|None|False
766|2017-01|None|False
767|2017-01|None|False
768|2017-3615-01|None|False
769|IPMC ins. Apt. 1|None|False
770|2017-apt23-01|None|False
771|2017-apt25-01|None|False
772|27 re inspection|None|False
773|2017-apt33-01|None|False
774|2017-apt36-01|None|False
775|2017-apt48-01|None|False
776|2017-apt1-01|None|False
777|2017-01|None|False
778|2017-2025-01|None|False
779|2017-1450-01|None|False
780|2017-apt1-01|None|False
781|2017-01|None|True
782|2017-01|None|True
783|2017-01|None|True
784|2017-01|None|True
785|2017-01|None|False
786|2017-4221-01|None|False
787|2017-501-01|None|False
788|2017-126-01|None|False
789|2017-2425-01|None|False
790|2017-apt34-01|None|False
791|2017-01|None|False
792|2017-140-01|None|False
793|2016-821-01|None|False
794|2016-01|None|False
795|2017-01|None|True
796|2017-01|None|False
797|2017-1011-01|None|False
798|2017-1016-01|None|False
799|2017-01|None|False
